"Story","Title","Result","Date","Stability","Duration (s)"
"Posts CRUD test","Create a new post for the user","SUCCESS","2023-01-10T01:34:04.866Z[Europe/London]","0.0","16.3"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T01:34:18.025Z[Europe/London]","0.0","0.45"
"Posts CRUD test","Verify that post was added for the user","SUCCESS","2023-01-10T01:34:21.207Z[Europe/London]","0.0","0.55"
"Posts CRUD test","Update the post title","SUCCESS","2023-01-10T01:34:21.761Z[Europe/London]","0.0","0.57"
"Posts CRUD test","Delete the post","SUCCESS","2023-01-10T01:34:22.329Z[Europe/London]","0.0","1.45"
"Users data driven test","Data Driven test for adding multiple bookings to the application","SUCCESS","2023-01-10T01:34:24.560Z[Europe/London]","0.0","31.93"
"Users CRUD test","Create a new User","SUCCESS","2023-01-10T01:34:25.510Z[Europe/London]","0.0","0.47"
"Users CRUD test","Verify that user added successfully","SUCCESS","2023-01-10T01:34:25.987Z[Europe/London]","0.0","0.52"
"Users CRUD test","Update user details","SUCCESS","2023-01-10T01:34:26.508Z[Europe/London]","0.0","0.49"
"Users CRUD test","Delete the user","SUCCESS","2023-01-10T01:34:27Z[Europe/London]","0.0","1.23"
"Testing different request on the gorest app","As a user I update a user with name","SUCCESS","2023-01-10T01:34:25.977Z[Europe/London]","0.0","0.42"
"Testing different request on the gorest app","As a user I delete a user","SUCCESS","2023-01-10T01:34:26.533Z[Europe/London]","0.0","0.87"
"Testing different request on the gorest app","As a user I am creating new users","SUCCESS","2023-01-10T01:34:27.460Z[Europe/London]","0.0","6.64"
